,width
2716,480
2717,480
2718,315
2719,385
2720,200
2721,300
2722,480
2723,360
2724,480
2725,600
2726,644
2727,500
2728,360
2729,500
2730,444
2731,300
2732,480
2733,360
2734,245
2735,265
2736,320
2737,195
2738,480
2739,640
2740,300
2741,711
2742,480
2743,500
2744,462
2745,320
2746,500
2747,480
2748,200
2749,245
2750,498
2751,500
2752,1280
2753,1080
2754,500
2755,498
2756,480
2757,270
2758,720
2759,260
2760,175
2761,443
2762,477
2763,400
2764,401
2765,600
2766,450
2767,500
2768,640
2769,575
2770,380
2771,276
2772,466
2773,320
2774,500
2775,550
2776,400
2777,500
2778,480
2779,175
2780,300
2781,348
2782,500
2783,500
2784,286
2785,480
2786,474
2787,480
2788,480
2789,386
2790,500
2791,480
2792,244
2793,480
2794,200
2795,480
2796,500
2797,245
2798,449
2799,300
2800,322
2801,268
2802,245
2803,417
2804,225
2805,800
2806,450
2807,175
2808,500
2809,320
2810,450
2811,520
2812,294
2813,250
2814,600
2815,540
2816,400
2817,648
2818,450
2819,305
2820,600
2821,500
2822,426
2823,320
2824,400
2825,700
2826,328
2827,339
2828,507
2829,500
2830,480
2831,400
2832,320
2833,400
2834,538
2835,426
2836,576
2837,624
2838,300
2839,480
2840,370
2841,480
2842,425
2843,480
2844,245
2845,380
2846,498
2847,267
2848,300
2849,480
2850,500
2851,433
2852,480
2853,480
2854,350
2855,498
2856,354
2857,700
2858,400
2859,245
2860,200
2861,287
2862,400
2863,200
2864,720
2865,500
2866,480
2867,477
2868,576
2869,245
2870,499
2871,500
2872,480
2873,500
2874,480
2875,245
2876,480
2877,415
2878,245
2879,500
2880,500
2881,331
2882,240
2883,427
2884,480
2885,359
2886,320
2887,480
2888,500
2889,500
2890,640
2891,540
2892,480
2893,728
2894,480
2895,370
2896,325
2897,480
2898,500
2899,231
2900,500
2901,550
2902,380
2903,400
2904,260
2905,161
2906,400
2907,480
2908,728
2909,800
2910,427
2911,500
2912,161
2913,480
2914,450
2915,500
2916,498
2917,400
2918,600
2919,403
2920,382
2921,300
2922,600
2923,500
2924,480
2925,360
2926,720
2927,418
2928,500
2929,430
2930,677
2931,480
2932,368
2933,400
2934,300
2935,480
2936,500
2937,271
2938,480
2939,500
2940,728
2941,480
2942,240
2943,245
2944,480
2945,480
2946,730
2947,381
2948,460
2949,245
2950,640
2951,498
2952,245
2953,480
2954,480
2955,820
2956,267
2957,500
2958,350
2959,480
2960,500
2961,200
2962,245
2963,800
2964,720
2965,400
2966,728
2967,480
2968,400
2969,476
2970,478
2971,400
2972,267
2973,236
2974,286
2975,383
2976,964
2977,335
2978,267
2979,288
2980,300
2981,300
2982,320
2983,218
2984,366
2985,480
2986,480
2987,480
2988,450
